Section,Type,Key,English,German
Tool Page Chrome,UI String,toolPage.defaultFeature1,100% free with no limits or watermarks,100 % kostenlos ohne Limits oder Wasserzeichen
Tool Page Chrome,UI String,toolPage.defaultFeature2,Files never leave your device — complete privacy,Dateien verlassen nie Ihr Gerät — vollständige Privatsphäre
Tool Page Chrome,UI String,toolPage.defaultFeature3,No account or signup required,Kein Konto oder Anmeldung erforderlich
Tool Page Chrome,UI String,toolPage.defaultFeature4,Powered by WebAssembly for near-native speed,Angetrieben von WebAssembly für native Geschwindigkeit
Tool Page Chrome,UI String,toolPage.defaultFeature5,Works on any modern browser — desktop or mobile,Funktioniert in jedem modernen Browser — Desktop oder Mobil
Homepage,UI String,home.heroTitle,Convert. Transform.,Konvertieren. Transformieren.
Homepage,UI String,home.heroAccent,Privately.,Privat.
Homepage,UI String,home.heroSubtitle,"Free online tools for images, PDFs, audio, and more — powered by WebAssembly and WebGPU. Your files never leave your device.","Kostenlose Online-Tools für Bilder, PDFs, Audio und mehr — angetrieben von WebAssembly und WebGPU. Ihre Dateien verlassen nie Ihr Gerät."
Homepage,UI String,home.browseTools,Browse All Tools →,Alle Tools ansehen →
Homepage,UI String,home.whyUs,Why Us?,Warum wir?
Homepage,UI String,home.freeTools,Free Tools,Kostenlose Tools
Homepage,UI String,home.uploads,Uploads,Uploads
Homepage,UI String,home.clientSide,Client-Side,Clientseitig
Homepage,UI String,home.noSignup,No Signup,Ohne Anmeldung
Homepage,UI String,home.zeroValue,Zero,Null
Homepage,UI String,home.hundredPercent,100%,100 %
Homepage,UI String,home.free,Free,Kostenlos
Homepage,UI String,home.toolsSectionTitle,Free Online Conversion Tools,Kostenlose Online-Konvertierungstools
Homepage,UI String,home.toolsSectionDesc,"A comprehensive suite of browser-based tools for file conversion, compression, editing, and generation. Each tool runs locally for maximum speed and privacy.","Eine umfassende Suite browserbasierter Tools für Dateikonvertierung, Komprimierung, Bearbeitung und Generierung. Jedes Tool läuft lokal für maximale Geschwindigkeit und Privatsphäre."
Homepage,UI String,home.imageToolsTitle,Image Tools,Bild-Tools
Homepage,UI String,home.imageToolsDesc,"Convert between image formats (PNG, JPG, WebP, AVIF, HEIC, SVG), compress images without quality loss, remove backgrounds with AI, resize, and create coloring pages. Our PNG to SVG vectorizer produces clean, scalable vector graphics from any raster image.","Konvertieren Sie zwischen Bildformaten (PNG, JPG, WebP, AVIF, HEIC, SVG), komprimieren Sie Bilder ohne Qualitätsverlust, entfernen Sie Hintergründe mit KI, ändern Sie die Größe und erstellen Sie Ausmalseiten. Unser PNG-zu-SVG-Vektorisierer erzeugt saubere, skalierbare Vektorgrafiken aus jedem Rasterbild."
Homepage,UI String,home.pdfToolsTitle,PDF Tools,PDF-Tools
Homepage,UI String,home.pdfToolsDesc,"Merge multiple PDFs into one, split PDFs by page range, rotate pages, add watermarks and page numbers, password-protect documents, sign PDFs, fill forms, extract images from PDFs, and convert text or images to PDF format. All processed locally — your documents stay private.","Mehrere PDFs zusammenführen, PDFs nach Seitenbereichen aufteilen, Seiten drehen, Wasserzeichen und Seitenzahlen hinzufügen, Dokumente mit Passwort schützen, PDFs unterschreiben, Formulare ausfüllen, Bilder aus PDFs extrahieren und Text oder Bilder in PDF konvertieren. Alles lokal verarbeitet — Ihre Dokumente bleiben privat."
Homepage,UI String,home.audioToolsTitle,Audio & Media Tools,Audio- & Medien-Tools
Homepage,UI String,home.audioToolsDesc,"Convert between audio formats including MP3, WAV, OGG, FLAC, and AAC. Transcribe speech to text using OpenAI's Whisper AI model running locally in your browser — no cloud API, no usage limits, no cost. Convert video clips to GIF animations.","Konvertieren Sie zwischen Audioformaten wie MP3, WAV, OGG, FLAC und AAC. Transkribieren Sie Sprache zu Text mit dem OpenAI Whisper KI-Modell, das lokal in Ihrem Browser läuft — keine Cloud-API, keine Nutzungsbeschränkungen, keine Kosten. Konvertieren Sie Videoclips in GIF-Animationen."
Homepage,UI String,home.dataToolsTitle,Text & Developer Tools,Text- & Entwickler-Tools
Homepage,UI String,home.dataToolsDesc,"Format and validate JSON, encode and decode Base64 and URLs, generate secure passwords, create QR codes, compare text with a diff checker, test regex patterns, convert between CSV and JSON, render Markdown to HTML, count words, and change text case.","JSON formatieren und validieren, Base64 und URLs kodieren und dekodieren, sichere Passwörter generieren, QR-Codes erstellen, Text mit einem Diff-Checker vergleichen, Regex-Muster testen, zwischen CSV und JSON konvertieren, Markdown in HTML rendern, Wörter zählen und Textfall ändern."
Homepage,UI String,home.whySectionTitle,Why Choose BestOnline.Tools?,Warum BestOnline.Tools?
Homepage,UI String,home.whySectionDesc,"Unlike traditional online tools that upload your files to remote servers, every tool on BestOnline.Tools runs entirely in your browser using cutting-edge web technologies.","Im Gegensatz zu herkömmlichen Online-Tools, die Ihre Dateien auf Remote-Server hochladen, läuft jedes Tool auf BestOnline.Tools vollständig in Ihrem Browser mit modernster Webtechnologie."
Homepage,UI String,home.whyPrivacyTitle,"True Privacy, Not Just a Promise","Echte Privatsphäre, nicht nur ein Versprechen"
Homepage,UI String,home.whyPrivacyDesc,"Most ""free online tools"" upload your files to their servers for processing. That means your confidential documents, personal photos, and sensitive audio pass through third-party infrastructure. BestOnline.Tools is architecturally different: your files are processed by your own CPU and GPU using WebAssembly. We physically cannot see, access, or store your data — because it never leaves your device.","Die meisten „kostenlosen Online-Tools"" laden Ihre Dateien zur Verarbeitung auf ihre Server hoch. Das bedeutet, dass Ihre vertraulichen Dokumente, persönlichen Fotos und sensiblen Audiodateien durch Infrastruktur von Drittanbietern laufen. BestOnline.Tools ist architektonisch anders: Ihre Dateien werden von Ihrer eigenen CPU und GPU mit WebAssembly verarbeitet. Wir können Ihre Daten physisch nicht sehen, darauf zugreifen oder speichern — weil sie Ihr Gerät nie verlassen."
Homepage,UI String,home.whySpeedTitle,Near-Native Speed,Nahezu native Geschwindigkeit
Homepage,UI String,home.whySpeedDesc,"WebAssembly compiles to native machine code, delivering performance that rivals desktop applications. No waiting for uploads or downloads, no server queue. Your files are processed at the speed of your hardware. Large PDFs, high-resolution images, and lengthy audio files are handled without the file size limits that server-based tools impose.","WebAssembly kompiliert zu nativem Maschinencode und liefert Leistung, die Desktop-Anwendungen ebenbürtig ist. Kein Warten auf Uploads oder Downloads, keine Server-Warteschlange. Ihre Dateien werden mit der Geschwindigkeit Ihrer Hardware verarbeitet. Große PDFs, hochauflösende Bilder und lange Audiodateien werden ohne die Dateigrößenbeschränkungen serverbasierter Tools verarbeitet."
Homepage,UI String,home.whyOfflineTitle,Works Offline & Everywhere,Funktioniert offline & überall
Homepage,UI String,home.whyOfflineDesc,"Once a tool loads, it runs independently of your internet connection. Continue converting files on a plane, in a coffee shop with spotty WiFi, or behind a corporate firewall. BestOnline.Tools works on any modern browser — Chrome, Firefox, Safari, Edge — on desktop, tablet, or mobile. No software to install, no plugins, no extensions.","Sobald ein Tool geladen ist, läuft es unabhängig von Ihrer Internetverbindung. Konvertieren Sie Dateien im Flugzeug, im Café mit schlechtem WLAN oder hinter einer Unternehmens-Firewall. BestOnline.Tools funktioniert in jedem modernen Browser — Chrome, Firefox, Safari, Edge — auf Desktop, Tablet oder Mobilgerät. Keine Software zu installieren, keine Plugins, keine Erweiterungen."
Homepage,UI String,home.whyAiTitle,"AI-Powered, Locally","KI-gestützt, lokal"
Homepage,UI String,home.whyAiDesc,"Our AI tools — like the Background Remover and Speech-to-Text transcriber — run machine learning models directly on your device using WebGPU acceleration. The AI models are downloaded once and cached in your browser. No API calls, no cloud processing, no per-use credits. The same professional-quality results as paid services, completely free and private.","Unsere KI-Tools — wie der Hintergrund-Entferner und die Sprache-zu-Text-Transkription — führen Machine-Learning-Modelle direkt auf Ihrem Gerät mit WebGPU-Beschleunigung aus. Die KI-Modelle werden einmal heruntergeladen und in Ihrem Browser zwischengespeichert. Keine API-Aufrufe, keine Cloud-Verarbeitung, keine Kosten pro Nutzung. Die gleichen professionellen Ergebnisse wie kostenpflichtige Dienste, völlig kostenlos und privat."
Homepage,UI String,home.comparisonTitle,How We Compare,Im Vergleich
Homepage,UI String,home.comparisonDesc,"See how BestOnline.Tools stacks up against traditional online conversion services like Convertio, iLovePDF, and CloudConvert.","Sehen Sie, wie BestOnline.Tools im Vergleich zu herkömmlichen Online-Konvertierungsdiensten wie Convertio, iLovePDF und CloudConvert abschneidet."
Homepage,UI String,home.comparisonFeature,Feature,Eigenschaft
Homepage,UI String,home.comparisonUs,BestOnline.Tools,BestOnline.Tools
Homepage,UI String,home.comparisonThem,Traditional Tools,Herkömmliche Tools
Homepage,UI String,home.comparisonPrivacy,File Privacy,Datenschutz
Homepage,UI String,home.comparisonPrivacyUs,Files never leave your device,Dateien verlassen nie Ihr Gerät
Homepage,UI String,home.comparisonPrivacyThem,Files uploaded to remote servers,Dateien werden auf Server hochgeladen
Homepage,UI String,home.comparisonSize,File Size Limits,Dateigrößenlimits
Homepage,UI String,home.comparisonSizeUs,No limits (your hardware is the limit),Keine Limits (Ihre Hardware ist das Limit)
Homepage,UI String,home.comparisonSizeThem,Typically 50–100 MB free tier,Typischerweise 50–100 MB im kostenlosen Tarif
Homepage,UI String,home.comparisonDaily,Daily Usage Limits,Tägliche Nutzungslimits
Homepage,UI String,home.comparisonDailyUs,Unlimited conversions,Unbegrenzte Konvertierungen
Homepage,UI String,home.comparisonDailyThem,2–10 free conversions per day,2–10 kostenlose Konvertierungen pro Tag
Homepage,UI String,home.comparisonAccount,Account Required,Konto erforderlich
Homepage,UI String,home.comparisonAccountUs,No — just open and use,Nein — einfach öffnen und nutzen
Homepage,UI String,home.comparisonAccountThem,Often required for full features,Oft für volle Funktionen erforderlich
Homepage,UI String,home.comparisonSpeed,Processing Speed,Verarbeitungsgeschwindigkeit
Homepage,UI String,home.comparisonSpeedUs,Instant (no upload/download),Sofort (kein Upload/Download)
Homepage,UI String,home.comparisonSpeedThem,Depends on file size + server load,Abhängig von Dateigröße + Serverauslastung
Homepage,UI String,home.comparisonOffline,Works Offline,Offline nutzbar
Homepage,UI String,home.comparisonOfflineUs,"Yes, after first load","Ja, nach dem ersten Laden"
Homepage,UI String,home.comparisonOfflineThem,No — requires internet,Nein — Internet erforderlich
Homepage,UI String,home.comparisonCost,Cost,Kosten
Homepage,UI String,home.comparisonCostUs,"100% free, forever","100 % kostenlos, für immer"
Homepage,UI String,home.comparisonCostThem,Free tier + paid plans ($5–15/mo),Kostenloser Tarif + Bezahlpläne (5–15 €/Monat)
Homepage,UI String,home.howItWorksTitle,How It Works,So funktioniert's
Homepage,UI String,home.howItWorksDesc,Using BestOnline.Tools is as simple as any other online converter — but with the critical difference that your files stay on your device throughout the entire process.,"Die Nutzung von BestOnline.Tools ist so einfach wie bei jedem anderen Online-Konverter — mit dem entscheidenden Unterschied, dass Ihre Dateien während des gesamten Prozesses auf Ihrem Gerät bleiben."
Homepage,UI String,home.step1Title,Choose & Drop,Auswählen & Ablegen
Homepage,UI String,home.step1Desc,"Select a tool and drag your file into the drop zone. All common formats are supported — PNG, JPG, WebP, PDF, MP3, WAV, and more. No file size restrictions.","Wählen Sie ein Tool und ziehen Sie Ihre Datei in die Ablagezone. Alle gängigen Formate werden unterstützt — PNG, JPG, WebP, PDF, MP3, WAV und mehr. Keine Dateigrößenbeschränkungen."
Homepage,UI String,home.step2Title,Process Locally,Lokal verarbeiten
Homepage,UI String,home.step2Desc,"Your browser processes the file using WebAssembly or WebGPU. Adjust quality, format, and other parameters with real-time preview. Nothing is uploaded anywhere.","Ihr Browser verarbeitet die Datei mit WebAssembly oder WebGPU. Passen Sie Qualität, Format und andere Parameter mit Echtzeit-Vorschau an. Nichts wird irgendwohin hochgeladen."
Homepage,UI String,home.step3Title,Download Instantly,Sofort herunterladen
Homepage,UI String,home.step3Desc,Your converted file is ready immediately — no waiting for server processing. Download it directly to your device. The original file is never modified.,Ihre konvertierte Datei ist sofort bereit — kein Warten auf Serververarbeitung. Laden Sie sie direkt auf Ihr Gerät herunter. Die Originaldatei wird nie verändert.
Homepage,UI String,home.techTitle,Built on Modern Web Technology,Aufgebaut auf moderner Webtechnologie
Homepage,UI String,home.techDesc,BestOnline.Tools leverages three browser technologies that make server-side processing obsolete for most file conversion tasks.,"BestOnline.Tools nutzt drei Browser-Technologien, die serverseitige Verarbeitung für die meisten Dateikonvertierungsaufgaben überflüssig machen."
Homepage,UI String,home.techWasmTitle,WebAssembly (WASM),WebAssembly (WASM)
Homepage,UI String,home.techWasmDesc,"Compiled native code running at near-native speed in your browser. Powers our PDF engine (based on pdf-lib), image vectorizer (Potrace), audio converter (FFmpeg), and image compressor. The same technology used by Figma, Google Earth, and AutoCAD for the web.","Kompilierter nativer Code, der mit nahezu nativer Geschwindigkeit in Ihrem Browser läuft. Treibt unsere PDF-Engine (basierend auf pdf-lib), den Bild-Vektorisierer (Potrace), den Audio-Konverter (FFmpeg) und den Bild-Kompressor an. Dieselbe Technologie, die von Figma, Google Earth und AutoCAD für das Web verwendet wird."
Homepage,UI String,home.techGpuTitle,WebGPU,WebGPU
Homepage,UI String,home.techGpuDesc,"Direct access to your device's GPU for parallel computation. Powers our AI-based tools: the background remover uses a neural network to isolate subjects from photos, and the speech-to-text transcriber runs OpenAI's Whisper model entirely on your graphics card.","Direkter Zugriff auf die GPU Ihres Geräts für parallele Berechnungen. Treibt unsere KI-basierten Tools an: Der Hintergrund-Entferner verwendet ein neuronales Netz, um Motive von Fotos zu isolieren, und der Sprache-zu-Text-Transkriber führt das Whisper-Modell von OpenAI vollständig auf Ihrer Grafikkarte aus."
Homepage,UI String,home.techCanvasTitle,Canvas & Web APIs,Canvas & Web-APIs
Homepage,UI String,home.techCanvasDesc,"Native browser image processing for tasks like format conversion, resizing, and compression. Combined with the File System Access API, this enables drag-and-drop workflows with zero server interaction.","Native Browser-Bildverarbeitung für Aufgaben wie Formatkonvertierung, Größenänderung und Komprimierung. In Kombination mit der File System Access API ermöglicht dies Drag-and-Drop-Workflows ohne jegliche Serverinteraktion."
Homepage,UI String,home.privacyBannerTitle,Your Files Never Leave Your Device.,Ihre Dateien verlassen nie Ihr Gerät.
Homepage,UI String,home.privacyBannerDesc,"Unlike most online tools, BestOnline.Tools runs conversions directly in your browser using WebAssembly and WebGPU. Your files are never uploaded to any server — ensuring complete privacy and near-instant processing. No account required, no file size limits, no daily usage caps.","Im Gegensatz zu den meisten Online-Tools führt BestOnline.Tools Konvertierungen direkt in Ihrem Browser mit WebAssembly und WebGPU durch. Ihre Dateien werden nie auf einen Server hochgeladen — für vollständige Privatsphäre und nahezu sofortige Verarbeitung. Kein Konto erforderlich, keine Dateigrößenlimits, keine täglichen Nutzungsbeschränkungen."
Homepage,UI String,home.startConverting,Start Converting →,Jetzt konvertieren →
Footer,UI String,footer.resources,Resources,Ressourcen
Footer,UI String,footer.privacyPolicy,Privacy Policy,Datenschutzerklärung
Footer,UI String,footer.pricing,Pricing,Preise
Footer,UI String,footer.tagline,"Free online conversion tools that run in your browser. Fast, private, no upload required.","Kostenlose Online-Konvertierungstools, die in Ihrem Browser laufen. Schnell, privat, kein Upload erforderlich."
Footer,UI String,footer.copyright,© {year} BestOnline.Tools. All rights reserved.,© {year} BestOnline.Tools. Alle Rechte vorbehalten.
Footer,UI String,footer.localProcessing,Your files are processed locally and never uploaded to any server.,Ihre Dateien werden lokal verarbeitet und nie auf einen Server hochgeladen.
Category Labels,UI String,category.image,Image,Bild
Category Labels,UI String,category.pdf,PDF,PDF
Category Labels,UI String,category.audio,Audio,Audio
Category Labels,UI String,category.data,Data,Daten
Shared Tool UI,UI String,tool.dragDrop,Drag & drop files here,Dateien hierher ziehen
Shared Tool UI,UI String,tool.dragDropSingle,Drag & drop a file here,Datei hierher ziehen
Shared Tool UI,UI String,tool.orClick,or click to select,oder klicken zum Auswählen
Shared Tool UI,UI String,tool.download,Download,Herunterladen
Shared Tool UI,UI String,tool.downloadAll,Download All,Alle herunterladen
Shared Tool UI,UI String,tool.convert,Convert,Konvertieren
Shared Tool UI,UI String,tool.reset,Reset,Zurücksetzen
Shared Tool UI,UI String,tool.clear,Clear,Löschen
Shared Tool UI,UI String,tool.processing,Processing...,Wird verarbeitet...
Shared Tool UI,UI String,tool.done,Done!,Fertig!
Shared Tool UI,UI String,tool.error,An error occurred. Please try again.,Ein Fehler ist aufgetreten. Bitte versuchen Sie es erneut.
Shared Tool UI,UI String,tool.runsLocally,Runs locally,Läuft lokal
Shared Tool UI,UI String,tool.comingSoon,Coming Soon,Demnächst
Shared Tool UI,UI String,tool.noFileSelected,No file selected,Keine Datei ausgewählt
Shared Tool UI,UI String,tool.uploadFile,Upload File,Datei hochladen
Shared Tool UI,UI String,tool.selectFile,Select File,Datei auswählen
Shared Tool UI,UI String,tool.removeFile,Remove file,Datei entfernen
Shared Tool UI,UI String,tool.addMore,Add more files,Weitere Dateien hinzufügen
Shared Tool UI,UI String,tool.output,Output,Ausgabe
Shared Tool UI,UI String,tool.input,Input,Eingabe
Shared Tool UI,UI String,tool.preview,Preview,Vorschau
Shared Tool UI,UI String,tool.settings,Settings,Einstellungen
Shared Tool UI,UI String,tool.quality,Quality,Qualität
Shared Tool UI,UI String,tool.format,Format,Format
Shared Tool UI,UI String,tool.size,Size,Größe
Shared Tool UI,UI String,tool.width,Width,Breite
Shared Tool UI,UI String,tool.height,Height,Höhe
Shared Tool UI,UI String,tool.copy,Copy,Kopieren
Shared Tool UI,UI String,tool.copied,Copied!,Kopiert!
Shared Tool UI,UI String,tool.paste,Paste,Einfügen
PDF Merge,UI String,pdfMerge.dropTitle,Drop PDFs to merge,PDFs zum Zusammenführen ablegen
PDF Merge,UI String,pdfMerge.dropTitleMore,Add more PDFs,Weitere PDFs hinzufügen
PDF Merge,UI String,pdfMerge.dropSubtitle,PDF files only,Nur PDF-Dateien
PDF Merge,UI String,pdfMerge.reading,Reading PDFs...,PDFs werden gelesen...
PDF Merge,UI String,pdfMerge.mergingFiles,Merging {count} files...,{count} Dateien werden zusammengeführt...
PDF Merge,UI String,pdfMerge.mergingProgress,Merging file {current} of {total}...,Datei {current} von {total} wird zusammengeführt...
PDF Merge,UI String,pdfMerge.resultSummary,{fileCount} files merged → {pageCount} pages,{fileCount} Dateien zusammengeführt → {pageCount} Seiten
PDF Merge,UI String,pdfMerge.mergeMore,Merge more files,Weitere Dateien zusammenführen
PDF Merge,UI String,pdfMerge.splitLink,Split this PDF,Diese PDF aufteilen
PDF Merge,UI String,pdfMerge.tryAgain,Try again,Erneut versuchen
PDF Merge,UI String,pdfMerge.fileSummary,{fileCount} files · {pageCount} pages,{fileCount} Dateien · {pageCount} Seiten
PDF Merge,UI String,pdfMerge.mergeButton,Merge {count} PDFs →,{count} PDFs zusammenführen →
PDF Merge,UI String,pdfMerge.pages,{count} pages,{count} Seiten
PDF Merge,UI String,pdfMerge.pageUnknown,Unknown,Unbekannt
PDF Split,UI String,pdfSplit.dropTitle,Drop PDF to split,PDF zum Aufteilen ablegen
PDF Split,UI String,pdfSplit.dropSubtitle,Single PDF file,Einzelne PDF-Datei
PDF Split,UI String,pdfSplit.reading,Reading PDF...,PDF wird gelesen...
PDF Split,UI String,pdfSplit.readError,Failed to read PDF,PDF konnte nicht gelesen werden
PDF Split,UI String,pdfSplit.splitResult,Split into {count} files,In {count} Dateien aufgeteilt
PDF Split,UI String,pdfSplit.downloadAll,Download All ({count} files),Alle herunterladen ({count} Dateien)
PDF Split,UI String,pdfSplit.mergeLink,Merge PDFs,PDFs zusammenführen
PDF Split,UI String,pdfSplit.splitAnother,Split another PDF,Weitere PDF aufteilen
PDF Split,UI String,pdfSplit.extracting,Extracting pages...,Seiten werden extrahiert...
PDF Split,UI String,pdfSplit.noValidPages,No valid pages selected,Keine gültigen Seiten ausgewählt
PDF Split,UI String,pdfSplit.creatingPart,Creating part {current} of {total}...,Teil {current} von {total} wird erstellt...
PDF Split,UI String,pdfSplit.splitButton,Split PDF →,PDF aufteilen →
PDF Split,UI String,pdfSplit.pages,{count} pages,{count} Seiten
PDF Split,UI String,pdfSplit.extractPages,Extract Pages,Seiten extrahieren
PDF Split,UI String,pdfSplit.everyN,Every N Pages,Alle N Seiten
PDF Split,UI String,pdfSplit.equalParts,Equal Parts,Gleiche Teile
PDF Split,UI String,pdfSplit.pagesToExtract,Pages to extract,Zu extrahierende Seiten
PDF Split,UI String,pdfSplit.extractHint,Comma-separated pages or ranges (1-{max}),Kommagetrennte Seiten oder Bereiche (1-{max})
PDF Split,UI String,pdfSplit.pagesPerFile,Pages per file,Seiten pro Datei
PDF Split,UI String,pdfSplit.willCreate,Will create {count} files,{count} Dateien werden erstellt
PDF Split,UI String,pdfSplit.numberOfParts,Number of parts,Anzahl der Teile
PDF Split,UI String,pdfSplit.pagesPerPart,~{count} pages per part,~{count} Seiten pro Teil
PDF Split,UI String,pdfSplit.tryAgain,Try again,Erneut versuchen
PDF Rotate,UI String,pdfRotate.dropTitle,Drop a PDF to rotate pages,PDF zum Drehen ablegen
PDF Rotate,UI String,pdfRotate.success,PDF rotated successfully,PDF erfolgreich gedreht
PDF Rotate,UI String,pdfRotate.downloadButton,Download Rotated PDF,Gedrehte PDF herunterladen
PDF Rotate,UI String,pdfRotate.rotateAnother,Rotate another PDF,Weitere PDF drehen
PDF Rotate,UI String,pdfRotate.rotating,Rotating pages...,Seiten werden gedreht...
PDF Rotate,UI String,pdfRotate.rotation,Rotation,Drehung
PDF Rotate,UI String,pdfRotate.applyTo,Apply to,Anwenden auf
PDF Rotate,UI String,pdfRotate.allPages,All Pages,Alle Seiten
PDF Rotate,UI String,pdfRotate.custom,Custom,Benutzerdefiniert
PDF Rotate,UI String,pdfRotate.changeFile,Change file,Datei ändern
PDF Rotate,UI String,pdfRotate.rotateButton,Rotate →,Drehen →
PDF Rotate,UI String,pdfRotate.pages,{count} pages,{count} Seiten
PDF Watermark,UI String,pdfWatermark.dropTitle,Drop a PDF to add watermark,PDF für Wasserzeichen ablegen
PDF Watermark,UI String,pdfWatermark.dropSubtitle,PDF files only,Nur PDF-Dateien
PDF Watermark,UI String,pdfWatermark.reading,Reading PDF...,PDF wird gelesen...
PDF Watermark,UI String,pdfWatermark.readError,Failed to read PDF file.,PDF-Datei konnte nicht gelesen werden.
PDF Watermark,UI String,pdfWatermark.adding,Adding watermark...,Wasserzeichen wird hinzugefügt...
PDF Watermark,UI String,pdfWatermark.addError,Failed to add watermark,Wasserzeichen konnte nicht hinzugefügt werden
PDF Watermark,UI String,pdfWatermark.success,Watermark added to {count} pages,Wasserzeichen auf {count} Seiten hinzugefügt
PDF Watermark,UI String,pdfWatermark.passwordLink,Password protect this PDF,Diese PDF mit Passwort schützen
PDF Watermark,UI String,pdfWatermark.watermarkAnother,Watermark another PDF,Weitere PDF mit Wasserzeichen versehen
PDF Watermark,UI String,pdfWatermark.tryAgain,Try again,Erneut versuchen
PDF Watermark,UI String,pdfWatermark.settingsTitle,Watermark Settings,Wasserzeichen-Einstellungen
PDF Watermark,UI String,pdfWatermark.text,Text,Text
PDF Watermark,UI String,pdfWatermark.textPlaceholder,Enter watermark text,Wasserzeichentext eingeben
PDF Watermark,UI String,pdfWatermark.fontSize,Font Size,Schriftgröße
PDF Watermark,UI String,pdfWatermark.opacity,Opacity,Deckkraft
PDF Watermark,UI String,pdfWatermark.rotation,Rotation,Drehung
PDF Watermark,UI String,pdfWatermark.position,Position,Position
PDF Watermark,UI String,pdfWatermark.center,Center,Mitte
PDF Watermark,UI String,pdfWatermark.topLeft,Top Left,Oben links
PDF Watermark,UI String,pdfWatermark.topRight,Top Right,Oben rechts
PDF Watermark,UI String,pdfWatermark.bottomLeft,Bottom Left,Unten links
PDF Watermark,UI String,pdfWatermark.bottomRight,Bottom Right,Unten rechts
PDF Watermark,UI String,pdfWatermark.changeFile,Change file,Datei ändern
PDF Watermark,UI String,pdfWatermark.addButton,Add Watermark →,Wasserzeichen hinzufügen →
PDF Watermark,UI String,pdfWatermark.pages,{count} pages,{count} Seiten
PDF Page Numbers,UI String,pdfPageNumbers.dropTitle,Drop a PDF to add page numbers,PDF für Seitenzahlen ablegen
PDF Page Numbers,UI String,pdfPageNumbers.dropSubtitle,PDF files only,Nur PDF-Dateien
PDF Page Numbers,UI String,pdfPageNumbers.readError,Failed to read PDF.,PDF konnte nicht gelesen werden.
PDF Page Numbers,UI String,pdfPageNumbers.adding,Adding page numbers...,Seitenzahlen werden hinzugefügt...
PDF Page Numbers,UI String,pdfPageNumbers.addError,Failed to add page numbers,Seitenzahlen konnten nicht hinzugefügt werden
PDF Page Numbers,UI String,pdfPageNumbers.success,Page numbers added to {count} pages,Seitenzahlen auf {count} Seiten hinzugefügt
PDF Page Numbers,UI String,pdfPageNumbers.numberAnother,Number another PDF,Weitere PDF nummerieren
PDF Page Numbers,UI String,pdfPageNumbers.tryAgain,Try again,Erneut versuchen
PDF Page Numbers,UI String,pdfPageNumbers.settingsTitle,Page Number Settings,Seitenzahl-Einstellungen
PDF Page Numbers,UI String,pdfPageNumbers.position,Position,Position
PDF Page Numbers,UI String,pdfPageNumbers.bottomCenter,Bottom Center,Unten Mitte
PDF Page Numbers,UI String,pdfPageNumbers.bottomLeft,Bottom Left,Unten links
PDF Page Numbers,UI String,pdfPageNumbers.bottomRight,Bottom Right,Unten rechts
PDF Page Numbers,UI String,pdfPageNumbers.topCenter,Top Center,Oben Mitte
PDF Page Numbers,UI String,pdfPageNumbers.topLeft,Top Left,Oben links
PDF Page Numbers,UI String,pdfPageNumbers.topRight,Top Right,Oben rechts
PDF Page Numbers,UI String,pdfPageNumbers.format,Format,Format
PDF Page Numbers,UI String,pdfPageNumbers.startNumber,Start Number,Startnummer
PDF Page Numbers,UI String,pdfPageNumbers.fontSize,Font Size,Schriftgröße
